,ticker,price,change_amount,change_percentage,volume,category
0,MINM,4.48,3.5596,386.7449,74055310,Top Gainers
1,SRZNW,0.0437,0.0321,276.7241,31240,Top Gainers
2,AMPE,5.85,3.8901,198.4846,19168071,Top Gainers
3,AUUDW,0.034,0.0223,190.5983,362,Top Gainers
4,SNGX,0.9802,0.5648,135.9653,97456163,Top Gainers
5,RWODW,0.04,0.023,135.2941,1812,Top Gainers
6,AGBAW,0.0198,0.0108,120.0,100,Top Gainers
7,BHIL+,0.0381,0.0201,111.6667,4157,Top Gainers
8,RFACR,0.1653,0.0843,104.0741,20,Top Gainers
9,GDNRW,0.0195,0.0094,93.0693,100,Top Gainers
10,BRSHW,0.01,0.0047,88.6792,58760,Top Gainers
11,CRGOW,0.0745,0.0345,86.25,10,Top Gainers
12,IXHL,7.99,3.67,84.9537,499500,Top Gainers
13,IMGN,29.35,13.29,82.7522,67643118,Top Gainers
14,NXGLW,0.2298,0.0998,76.7692,1581,Top Gainers
15,COEPW,0.0522,0.0222,74.0,5254,Top Gainers
16,BZFDW,0.038,0.0158,71.1712,7146,Top Gainers
17,INVZW,0.75,0.31,70.4545,41715,Top Gainers
18,INBS,0.42,0.1597,61.3523,17861561,Top Gainers
19,OUST+A,0.04,0.015,60.0,12685,Top Gainers
20,GGE,0.1832,-1.4268,-88.6211,75218092,Top Losers
21,VSACW,0.0025,-0.013,-83.871,611,Top Losers
22,IMACW,0.0021,-0.0079,-79.0,1629,Top Losers
23,SXTPW,0.025,-0.065,-72.2222,1837,Top Losers
24,CUENW,0.0069,-0.0131,-65.5,35403,Top Losers
25,ESGLW,0.0052,-0.0094,-64.3836,351,Top Losers
26,GDSTW,0.0145,-0.021,-59.1549,1202,Top Losers
27,FNVTW,0.0081,-0.0116,-58.8832,11,Top Losers
28,CNGLW,0.0043,-0.0056,-56.5657,16,Top Losers
29,CURIW,0.0131,-0.0167,-56.0403,5959,Top Losers
30,NVNIW,0.03,-0.0355,-54.1985,122189,Top Losers
31,CMAXW,0.0305,-0.0345,-53.0769,3695,Top Losers
32,FIACW,0.016,-0.018,-52.9412,106971,Top Losers
33,WHLRL,28.0,-28.3584,-50.318,1,Top Losers
34,NRXPW,0.05,-0.05,-50.0,631,Top Losers
35,ACABW,0.018,-0.0179,-49.8607,903919,Top Losers
36,LCAHW,0.0351,-0.0348,-49.7854,235,Top Losers
37,BCDAW,0.051,-0.049,-49.0,1,Top Losers
38,RCRTW,0.0051,-0.0049,-49.0,6,Top Losers
39,PORT+,0.016,-0.014,-46.6667,510526,Top Losers
40,SQQQ,16.025,0.135,0.8496,133654861,Most Actively Traded
41,TSLA,239.79,-4.35,-1.7818,128783468,Most Actively Traded
42,LMDX,0.1725,0.0551,46.9336,115875764,Most Actively Traded
43,BETS,0.0271,0.0037,15.812,104815015,Most Actively Traded
44,SNGX,0.9802,0.5648,135.9653,97456163,Most Actively Traded
45,MCOM,0.0135,-0.0017,-11.1842,95993703,Most Actively Traded
46,TQQQ,43.84,-0.4,-0.9042,92422409,Most Actively Traded
47,LU,0.8504,0.009,1.0696,91723985,Most Actively Traded
48,NKLA,0.9724,-0.0376,-3.7228,86727680,Most Actively Traded
49,SOXS,8.455,0.165,1.9903,83312645,Most Actively Traded
50,CNHI,10.735,0.045,0.421,81401438,Most Actively Traded
51,F,10.26,-0.33,-3.1161,79075988,Most Actively Traded
52,SPY,456.24,1.63,0.3585,75779644,Most Actively Traded
53,GGE,0.1832,-1.4268,-88.6211,75218092,Most Actively Traded
54,MINM,4.48,3.5596,386.7449,74055310,Most Actively Traded
55,GMBL,0.0187,-0.0033,-15.0,73579949,Most Actively Traded
56,CYTO,0.3943,-0.2502,-38.8208,68383903,Most Actively Traded
57,IMGN,29.35,13.29,82.7522,67643118,Most Actively Traded
58,AMZN,146.05,-0.27,-0.1845,63720142,Most Actively Traded
59,LABU,3.855,0.235,6.4917,60313354,Most Actively Traded
