,optionSymbol,expiration,side,strike,bid,ask,last,openInterest,volume,ticker,sector,logo
0,MSFT231215C00160000,1702674000,call,160.0,216.9,218.5,169.45,12,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
1,MSFT231215C00165000,1702674000,call,165.0,212.1,213.85,179.4,7,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
2,MSFT231215C00170000,1702674000,call,170.0,206.45,209.75,191.9,6,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
3,MSFT231215C00175000,1702674000,call,175.0,201.7,204.55,161.5,5,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
4,MSFT231215C00180000,1702674000,call,180.0,196.45,199.8,196.93,6,3,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
5,MSFT231215C00185000,1702674000,call,185.0,191.1,194.1,184.65,2,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
6,MSFT231215C00190000,1702674000,call,190.0,186.3,189.0,186.64,18,3,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
7,MSFT231215C00195000,1702674000,call,195.0,181.3,184.2,166.85,6,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
8,MSFT231215C00200000,1702674000,call,200.0,177.75,178.85,177.0,249,14,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
9,MSFT231215C00205000,1702674000,call,205.0,172.45,174.8,157.45,22,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
10,MSFT231215C00210000,1702674000,call,210.0,167.45,169.65,162.85,12,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
11,MSFT231215C00215000,1702674000,call,215.0,161.7,164.25,154.3,13,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
12,MSFT231215C00220000,1702674000,call,220.0,156.2,159.1,151.16,16,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
13,MSFT231215C00225000,1702674000,call,225.0,151.2,154.3,144.33,21,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
14,MSFT231215C00230000,1702674000,call,230.0,146.55,148.95,145.0,12,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
